Breed,Lifespan low,Lifespan high,Popularity,Hypoallergenic,Intelligence,Temperament,Temperament2,Temperament3,Temperament4,Price low,Price high,https://www.dogbreedslist.info/all-dog-breeds/page-2.html
Rat Terrier,15,18,85,0,-,Loving,Alert,Lively,Inquisitive,600,2000,
Rhodesian Ridgeback,10,12,41,0,52,Dignified,Sensitive,Mischievous,Strong Willed,1000,2000,
Rottweiler,8,11,7,0,9,Intelligent,Courageous,Fearless,Confident,1200,2500,
Samoyed,12,14,53,1,33,Lively,Sociable,Friendly,Playful,1500,1500,
Scottish Terrier,11,13,60,1,65,Quick,Independent,Self-assured,Playful,1400,1600,
Shar-Pei,9,11,64,0,51,Independent,Reserved,Suspicious,Devoted,1000,2500,
Shetland Sheepdog,12,14,28,0,6,Playful,Gentle,Intelligent,Lively,1000,1200,
Shiba Inu,12,15,43,0,49,Charming,Confident,Fearless,Keen,1500,1500,
Shih Tzu,10,16,20,1,70,Happy,Playful,Gentle,Friendly,1000,1200,
Siberian Husky,12,14,21,0,45,Gentle,Intelligent,Outgoing,Friendly,600,3000,
Soft Coated Wheaten Terrier,12,15,66,1,40,Spirited,Faithful,Energetic,Intelligent,1800,1500,
St. Bernard,8,10,56,0,65,Friendly,Lively,Watchful,Gentle,1000,1100,
Staffordshire Bull Terrier,12,14,75,0,49,Reliable,Courageous,Affectionate,Intelligent,1500,2800,
Standard Schnauzer,12,15,94,1,18,Lively,Trainable,Intelligent,Playful,1500,2500,
Vizsla,10,14,33,0,25,Intelligent,Loyal,Affectionate,Energetic,1000,1000,
Weimaraner,10,12,44,0,21,Energetic,Stubborn,Fast,Intelligent,700,2000,
West Highland White Terrier,12,16,45,1,47,Hardy,Friendly,Independent,Courageous,1500,2000,
Whippet,12,15,54,0,51,Gentle,Affectionate,Intelligent,Lively,2000,2000,
Wirehaired Pointing Griffon,12,14,57,1,46,Loyal,Trainable,Gentle,Vigilant,1000,2800,
Yorkshire Terrier,12,16,13,1,27,Independent,Intelligent,Courageous,Confident,1500,1500,
